page,section_title,text
ABG,Medicine,"Arterial blood gas, blood test
air-bone gap in audiometry"
ABG,Organisations,"Abakan-Avia, airline based in Abakan, Russia (ICAO code ABG)
ABG Shipyard, ship-building firm based out of Mumbai, India
Aditya Birla Group, business conglomerate based in Mumbai, India
African Barrick Gold, gold mining business operating in Tanzania
Alpha Beta Gamma, international business honor society
Authentic Brands Group, American brand development and licensing company
Autonomous Bougainville Government, government of Autonomous Region of Bougainville, Papua New Guinea
Avis Budget Group, car rental company"
ABG,People,"Avrom Ber Gotlober (1811–1899), Jewish writer, poet, playwright, historian, journalist and educator
Asian baby girl"
ABG,Places,"Altenburger Land, Thuringia, Germany (vehicle registration code: ABG)
Abingdon Airport, Queensland, Australia (IATA code ABG)
Atlanta Botanical Garden, Georgia, United States"
ABG,Other,"Abaga language, a language of Papua New Guinea
Acoustic bass guitar, a bass instrument with a hollow wooden body
African Burial Ground National Monument, New York, United States
Asian Beach Games"
ABG,Summary,ABG may refer to:
ALP,Arts and entertainment,"Alien Loves Predator, a webcomic
Anna Livia Plurabelle, character in the book Finnegans Wake
Arthur Loves Plastic, American electronic music band"
ALP,Political parties,"Alberta Liberal Party, in Canada
All Liberian Party, in Liberia
American Labor Party (defunct), in the United States
Antigua Labour Party, in Antigua and Barbuda
Australian Labor Party, in Australia"
ALP,Transport,"ALP (automobile), manufactured in Belgium in 1920
Air Alpes, a defunct French airline
Aleppo International Airport, Syria
Alpine (Amtrak station), Texas, United States
Althorpe railway station, North Lincolnshire, England
Alphington railway station, Melbourne, Australia"
ALP,Other uses,"Aerial Ladder Platform, a type of firefighting apparatus
Afghan Local Police
Association of Lincoln Presenters, an American historical society
Average Labor Productivity"
ALP,Summary,ALP or AlP  may refer to:
ALT,Abbreviations for words,"Alt account, an alternative online identity also known as a sock puppet account
Alternate character, in online gaming
Alternate route, type of highway designation
Alternating group, mathematical group of even permutations
Alternative lifestyle
Alternative rock
Alternator
Alternative subculture or youth subculture, particularly with regard to fashion or aesthetics (""alt fashion,"" ""alt aesthetics"")
Altimeter
Altitude"
ALT,Acronyms and initialisms,"Aboriginal Land Trust, a type of organisation in Australia
Alanine transaminase, a liver enzyme of the transaminase family
Altona railway station, Melbourne
Alternative lengthening of telomeres, in cellular biology
Approach and Landing Tests, in space transportation
Argon laser trabeculoplasty, a type of glaucoma surgery
Assistant Language Teacher, in Japan
Association for Learning Technology, in Oxford, England
Association for Linguistic Typology
Accelerated life testing, testing a product in excess of its normal service parameters
International Conference on Algorithmic Learning Theory, a conference in theoretical computer science"
ALT,Places and geographical features,"Alt, Greater Manchester, formerly a constituent parish of Limehurst Rural District, near Oldham, England
River Alt, in Merseyside, England
Olt (river) (German: Alt), river in Romania
Altoona Transportation Center, Pennsylvania, U.S. (Amtrak code ALT)
Altrincham station, in Altrincham, England (National Rail station code ALT)"
ALT,People,"Alt (surname)
A.L.T. (born 1970), Mexican-American rapper
André Leon Talley, fashion magazine editor"
